player,year,attempts,made,expected_made,kick_plus,tier
Sebastian Janikowski,2008,30,24,25.0,96.1,ranked
Sebastian Janikowski,2009,29,26,20.6,126.1,ranked
Sebastian Janikowski,2010,41,33,32.8,100.6,ranked
Sebastian Janikowski,2011,35,31,26.8,115.6,ranked
Sebastian Janikowski,2012,34,31,27.7,111.9,ranked
Sebastian Janikowski,2013,30,21,25.2,83.4,ranked
Sebastian Janikowski,2014,22,19,17.3,109.5,ranked
Sebastian Janikowski,2015,26,21,21.9,96.0,ranked
Sebastian Janikowski,2016,35,29,28.6,101.6,ranked
Sebastian Janikowski,2018,27,22,22.4,98.1,ranked
Sergio Castillo,2020,13,8,11.0,72.7,small_sample
Seth Marler,2003,33,20,26.5,75.4,ranked
Shane Andrus,2009,1,0,0.7,0.0,unranked
Shane Andrus,2010,4,2,3.5,57.8,unranked
Shaun Suisham,2005,4,3,3.6,84.0,unranked
Shaun Suisham,2006,11,9,8.6,104.4,small_sample
Shaun Suisham,2007,33,28,28.2,99.2,ranked
Shaun Suisham,2008,32,25,26.8,93.3,ranked
Shaun Suisham,2009,24,20,20.4,97.8,ranked
Shaun Suisham,2010,15,14,12.3,114.0,small_sample
Shaun Suisham,2011,31,23,26.1,88.0,ranked
Shaun Suisham,2012,31,28,26.3,106.3,ranked
Shaun Suisham,2013,32,30,28.9,103.8,ranked
Shaun Suisham,2014,32,29,27.7,104.6,ranked
Shayne Graham,2001,8,6,6.2,97.1,unranked
Shayne Graham,2002,18,13,13.4,97.2,small_sample
Shayne Graham,2003,25,22,19.6,112.0,ranked
Shayne Graham,2004,31,27,24.7,109.4,ranked
Shayne Graham,2005,32,28,26.8,104.5,ranked
Shayne Graham,2006,30,25,24.1,103.8,ranked
Shayne Graham,2007,34,31,29.9,103.9,ranked
Shayne Graham,2008,24,21,20.3,103.3,ranked
Shayne Graham,2009,28,23,23.3,98.5,ranked
Shayne Graham,2010,12,12,10.9,109.8,small_sample
Shayne Graham,2011,7,6,6.1,98.8,unranked
Shayne Graham,2012,38,31,31.3,98.9,ranked
Shayne Graham,2013,2,2,1.8,110.8,unranked
Shayne Graham,2014,22,19,19.1,99.5,ranked
Shayne Graham,2015,13,11,10.7,102.3,small_sample
Spencer Shrader,2024,5,5,4.4,113.2,unranked
Spencer Shrader,2025,14,13,12.6,102.8,small_sample
Stephen Gostkowski,2006,26,20,22.5,89.0,ranked
Stephen Gostkowski,2007,24,21,21.4,98.2,ranked
Stephen Gostkowski,2008,39,35,34.2,102.3,ranked
Stephen Gostkowski,2009,31,26,25.1,103.6,ranked
Stephen Gostkowski,2010,13,10,10.9,91.9,small_sample
Stephen Gostkowski,2011,33,28,28.2,99.3,ranked
Stephen Gostkowski,2012,35,29,30.1,96.4,ranked
Stephen Gostkowski,2013,41,38,35.4,107.4,ranked
Stephen Gostkowski,2014,37,35,32.3,108.3,ranked
Stephen Gostkowski,2015,36,33,30.1,109.5,ranked
Stephen Gostkowski,2016,32,27,27.2,99.2,ranked
Stephen Gostkowski,2017,40,37,34.6,107.0,ranked
Stephen Gostkowski,2018,32,27,28.1,96.2,ranked
Stephen Gostkowski,2019,8,7,7.1,98.3,unranked
Stephen Gostkowski,2020,26,18,20.9,86.1,ranked
Steve Christie,2001,11,9,9.2,97.5,small_sample
Steve Christie,2002,26,18,19.9,90.5,ranked
Steve Christie,2003,20,15,15.6,95.9,ranked
Steve Christie,2004,28,22,22.7,97.0,ranked
Steven Hauschka,2008,2,1,1.4,73.7,unranked
Steven Hauschka,2009,13,9,10.5,86.0,small_sample
Steven Hauschka,2010,7,6,5.8,103.3,unranked
Steven Hauschka,2011,30,25,24.5,101.9,ranked
Steven Hauschka,2012,27,24,22.9,104.8,ranked
Steven Hauschka,2013,35,33,30.8,107.0,ranked
Steven Hauschka,2014,37,31,31.3,98.9,ranked
Steven Hauschka,2015,31,29,26.2,110.7,ranked
Steven Hauschka,2016,37,33,33.0,99.9,ranked
Steven Hauschka,2017,33,29,27.1,106.9,ranked
Steven Hauschka,2018,28,22,22.6,97.2,ranked
Steven Hauschka,2019,28,22,22.1,99.5,ranked
Steven Hauschka,2020,2,0,1.8,0.0,unranked
Taylor Bertolet,2022,3,3,2.9,102.6,unranked
Taylor Mehlhaff,2008,4,3,3.5,85.5,unranked
Taylor Russolino,2020,1,0,0.7,0.0,unranked
Tim Duncan,2003,10,6,7.6,78.5,small_sample
Tim Seder,2001,17,11,13.1,83.9,small_sample
Tim Seder,2002,12,8,9.4,85.5,small_sample
Todd France,2005,9,7,7.5,93.1,unranked
Todd Peterson,2001,35,27,27.2,99.4,ranked
Todd Peterson,2002,21,12,16.6,72.3,ranked
Todd Peterson,2003,15,12,12.5,96.0,small_sample
Todd Peterson,2004,22,18,17.1,105.1,ranked
Todd Peterson,2005,25,23,21.8,105.7,ranked
Todd Sauerbrun,2004,1,1,0.8,122.9,unranked
Travis Coons,2015,32,28,28.3,99.0,ranked
Travis Coons,2017,8,7,7.3,96.1,unranked
Tristan Vizcaino,2020,3,3,2.7,112.5,unranked
Tristan Vizcaino,2021,7,6,6.4,93.9,unranked
Tristan Vizcaino,2022,2,2,1.7,116.0,unranked
Ty Long,2019,9,7,6.9,101.5,unranked
Tyler Bass,2020,34,28,28.7,97.6,ranked
Tyler Bass,2021,32,28,28.9,96.9,ranked
Tyler Bass,2022,31,27,26.8,100.6,ranked
Tyler Bass,2023,29,24,25.2,95.4,ranked
Tyler Bass,2024,29,24,24.3,98.9,ranked
Tyler Loop,2025,34,30,30.4,98.6,ranked
Wade Richey,2001,32,21,26.0,80.9,ranked
Wade Richey,2003,2,1,1.0,97.4,unranked
Wes Welker,2004,1,1,1.0,103.7,unranked
Wil Lutz,2016,34,28,27.9,100.3,ranked
Wil Lutz,2017,36,31,30.3,102.2,ranked
Wil Lutz,2018,30,28,25.5,109.9,ranked
Wil Lutz,2019,36,32,29.0,110.5,ranked
Wil Lutz,2020,28,23,24.3,94.6,ranked
Wil Lutz,2022,31,23,26.0,88.5,ranked
Wil Lutz,2023,34,30,30.6,98.2,ranked
Wil Lutz,2024,34,31,28.2,110.0,ranked
Wil Lutz,2025,32,28,28.5,98.4,ranked
Will Reichard,2024,30,24,24.8,96.8,ranked
Will Reichard,2025,35,33,29.1,113.4,ranked
Younghoe Koo,2017,6,3,5.1,58.4,unranked
Younghoe Koo,2019,26,23,22.0,104.3,ranked
Younghoe Koo,2020,39,37,33.3,111.0,ranked
Younghoe Koo,2021,29,27,25.1,107.6,ranked
Younghoe Koo,2022,37,32,30.7,104.2,ranked
Younghoe Koo,2023,37,32,32.2,99.4,ranked
Younghoe Koo,2024,34,25,28.3,88.2,ranked
Younghoe Koo,2025,9,6,7.8,77.2,unranked
Zach Hocker,2015,14,10,12.2,82.1,small_sample
Zane Gonzalez,2017,20,15,16.9,88.6,ranked
Zane Gonzalez,2018,14,9,11.0,81.6,small_sample
Zane Gonzalez,2019,35,31,30.6,101.5,ranked
Zane Gonzalez,2020,22,16,18.2,88.0,ranked
Zane Gonzalez,2021,22,20,18.0,111.1,ranked
Zane Gonzalez,2024,7,5,5.5,90.9,unranked
Zane Gonzalez,2025,22,19,17.8,107.0,ranked
