player,bucket,attempts,made,expected_made,kick_plus
Nate Freese,20-29,2,2,2.0,102.5
Nate Freese,30-39,1,1,0.9,111.0
Nate Freese,40-49,4,0,3.1,0.0
Cairo Santos,60+,2,0,0.6,0.0
Josh Lambo,20-29,29,29,28.4,102.2
Josh Lambo,30-39,51,50,46.5,107.6
Josh Lambo,40-49,44,33,33.5,98.5
Josh Lambo,50-59,22,16,14.1,113.8
Josh Lambo,60+,1,0,0.2,0.0
Chris Boswell,<20,2,2,2.0,100.0
Chris Boswell,20-29,77,77,75.4,102.2
Chris Boswell,30-39,87,78,80.0,97.5
Chris Boswell,40-49,112,90,87.7,102.6
Chris Boswell,50-59,60,51,41.5,122.9
Travis Coons,20-29,15,15,14.6,102.5
Travis Coons,30-39,13,12,12.0,100.1
Travis Coons,40-49,10,8,7.6,105.1
Travis Coons,50-59,2,0,1.3,0.0
Chandler Catanzaro,<20,3,3,3.0,100.0
Jason Myers,20-29,62,60,60.6,99.0
Jason Myers,30-39,107,99,99.4,99.6
Jason Myers,40-49,103,87,81.3,107.1
Jason Myers,50-59,70,50,46.7,107.0
Dustin Hopkins,20-29,66,64,64.5,99.2
Dustin Hopkins,30-39,75,70,69.6,100.6
Dustin Hopkins,40-49,98,78,76.1,102.5
Dustin Hopkins,50-59,45,27,29.8,90.6
Andrew Franks,<20,1,1,1.0,100.0
Andrew Franks,20-29,13,11,12.6,87.3
Andrew Franks,30-39,10,10,9.3,107.9
Andrew Franks,40-49,9,5,6.9,72.2
Andrew Franks,50-59,3,2,1.8,109.9
Andrew Franks,60+,1,0,0.2,0.0
Zach Hocker,20-29,3,3,2.9,102.6
Zach Hocker,30-39,6,5,5.6,88.5
Zach Hocker,40-49,3,1,2.3,44.0
Zach Hocker,50-59,2,1,1.3,74.8
Kyle Brindza,20-29,2,1,1.9,51.3
Kyle Brindza,30-39,3,2,2.8,70.8
Kyle Brindza,40-49,3,1,2.3,44.0
Kyle Brindza,50-59,4,2,2.7,74.8
Brandon McManus,60+,10,1,3.3,29.9
Wil Lutz,<20,3,3,3.0,100.0
Wil Lutz,20-29,66,65,64.5,100.7
Wil Lutz,30-39,90,83,83.5,99.4
Wil Lutz,40-49,89,74,69.2,106.9
Wil Lutz,50-59,43,28,28.7,97.6
Wil Lutz,60+,4,1,1.3,77.8
Jason Myers,60+,5,1,1.4,70.0
Roberto Aguayo,20-29,5,5,4.8,103.3
Roberto Aguayo,30-39,15,13,13.8,94.4
Roberto Aguayo,40-49,10,4,7.9,50.4
Roberto Aguayo,50-59,1,0,0.6,0.0
Chandler Catanzaro,60+,1,1,0.2,400.0
Harrison Butker,20-29,68,67,66.5,100.7
Harrison Butker,30-39,90,85,82.6,102.8
Harrison Butker,40-49,69,60,54.0,111.1
Harrison Butker,50-59,50,33,33.8,97.5
Stephen Gostkowski,60+,1,1,0.3,300.0
Adam Vinatieri,60+,1,0,0.3,0.0
Jake Elliott,20-29,56,54,54.9,98.4
Jake Elliott,30-39,76,69,70.3,98.1
Jake Elliott,40-49,74,62,58.1,106.8
Jake Elliott,50-59,49,29,33.5,86.6
Jake Elliott,60+,3,2,1.2,173.1
Ka'imi Fairbairn,20-29,65,62,63.6,97.5
Ka'imi Fairbairn,30-39,83,80,76.7,104.3
Ka'imi Fairbairn,40-49,73,61,57.8,105.6
Ka'imi Fairbairn,50-59,68,50,46.6,107.2
Aldrick Rosas,20-29,26,26,25.5,102.0
Aldrick Rosas,30-39,27,23,24.8,92.8
Aldrick Rosas,40-49,22,13,16.9,76.8
Aldrick Rosas,50-59,16,10,10.6,94.3
Giorgio Tavecchio,20-29,6,6,5.9,102.0
Giorgio Tavecchio,30-39,7,5,6.0,83.3
Giorgio Tavecchio,40-49,7,5,5.5,91.0
Giorgio Tavecchio,50-59,6,5,4.1,121.1
Zane Gonzalez,20-29,29,29,28.5,101.9
