player,<20_kick_plus,<20_att,<20_sample_tag,20-29_kick_plus,20-29_att,20-29_sample_tag,30-39_kick_plus,30-39_att,30-39_sample_tag,40-49_kick_plus,40-49_att,40-49_sample_tag,50-59_kick_plus,50-59_att,50-59_sample_tag,60+_kick_plus,60+_att,60+_sample_tag
Ricky Schmitt,,,,,1,insufficient,,2,insufficient,,,,,,,,,
Riley Patterson,,,,96.6,19,moderate,101.9,40,normal,107.1,31,moderate,76.5,13,moderate,,,
Rob Bironas,,,,99.8,74,normal,105.1,80,normal,102.5,91,normal,128.1,25,moderate,,4,insufficient
Robbie Gould,,2,insufficient,101.6,138,normal,101.5,153,normal,101.5,173,normal,112.5,50,normal,,1,insufficient
Roberto Aguayo,,,,103.3,5,small,94.4,15,moderate,50.4,10,moderate,,1,insufficient,,,
Rodrigo Blankenship,,,,103.1,15,moderate,94.9,17,moderate,99.1,19,moderate,59.3,5,small,,,
Ryan Fitzgerald,,,,102.0,6,small,95.6,9,small,105.4,9,small,57.1,5,small,,,
Ryan Longwell,,4,insufficient,101.5,77,normal,102.9,99,normal,99.9,93,normal,112.4,30,moderate,,,
Ryan Santoso,,,,,3,insufficient,,1,insufficient,,1,insufficient,,,,,,
Ryan Succop,,3,insufficient,99.5,94,normal,101.8,110,normal,99.3,132,normal,76.1,47,normal,,,
Sam Ficken,,,,92.6,10,moderate,95.3,16,moderate,84.9,13,moderate,72.6,9,small,,,
Sam Sloman,,,,,3,insufficient,107.5,6,small,,3,insufficient,,1,insufficient,,,
Sebastian Janikowski,100.0,6,small,101.1,111,normal,103.0,135,normal,105.1,157,normal,103.3,89,normal,130.2,9,small
Sergio Castillo,,,,,2,insufficient,,4,insufficient,49.6,5,small,,2,insufficient,,,
Seth Marler,,,,94.6,11,moderate,60.5,8,small,60.1,12,moderate,,2,insufficient,,,
Shane Andrus,,,,,1,insufficient,,2,insufficient,,2,insufficient,,,,,,
Shaun Suisham,,3,insufficient,99.2,73,normal,95.6,71,normal,108.9,87,normal,60.8,11,moderate,,,
Shayne Graham,101.6,5,small,99.7,94,normal,106.5,104,normal,106.8,89,normal,95.1,31,moderate,,1,insufficient
Spencer Shrader,,,,102.3,7,small,107.3,6,small,,4,insufficient,,2,insufficient,,,
Stephen Gostkowski,,3,insufficient,99.1,130,normal,101.8,144,normal,97.5,134,normal,114.0,41,normal,,1,insufficient
Steve Christie,,2,insufficient,104.8,26,moderate,93.2,22,moderate,77.0,25,moderate,109.0,10,moderate,,,
Steven Hauschka,,3,insufficient,95.8,73,normal,106.8,94,normal,102.4,95,normal,101.3,42,normal,,3,insufficient
Taylor Bertolet,,,,,3,insufficient,,,,,,,,,,,,
Taylor Mehlhaff,,,,,1,insufficient,,2,insufficient,,1,insufficient,,,,,,
Taylor Russolino,,,,,,,,,,,,,,1,insufficient,,,
Tim Duncan,,,,,2,insufficient,,4,insufficient,,2,insufficient,,2,insufficient,,,
Tim Seder,,,,105.8,9,small,74.1,8,small,81.2,10,moderate,,2,insufficient,,,
Todd France,,,,,4,insufficient,,1,insufficient,,4,insufficient,,,,,,
Todd Peterson,,2,insufficient,86.4,34,moderate,102.2,42,normal,106.4,33,moderate,74.8,7,small,,,
Todd Sauerbrun,,,,,,,,1,insufficient,,,,,,,,,
Travis Coons,,,,102.5,15,moderate,100.1,13,moderate,105.1,10,moderate,,2,insufficient,,,
Tristan Vizcaino,,,,,3,insufficient,107.7,5,small,,4,insufficient,,,,,,
Ty Long,,,,,,,,3,insufficient,112.1,5,small,,1,insufficient,,,
Tyler Bass,,1,insufficient,99.6,39,moderate,92.1,50,normal,99.4,42,normal,103.8,21,moderate,,2,insufficient
Tyler Loop,,,,102.0,10,moderate,107.6,11,moderate,105.4,9,small,,4,insufficient,,,
Wade Richey,,,,91.5,15,moderate,67.3,7,small,71.7,7,small,75.3,5,small,,,
Wes Welker,,,,,1,insufficient,,,,,,,,,,,,
Wil Lutz,,3,insufficient,100.7,66,normal,99.4,90,normal,106.9,89,normal,97.6,43,normal,,4,insufficient
Will Reichard,,,,102.5,11,moderate,100.2,16,moderate,106.4,14,moderate,110.0,23,moderate,,1,insufficient
Younghoe Koo,,1,insufficient,102.3,53,normal,100.0,57,normal,97.9,64,normal,102.2,41,normal,,1,insufficient
Zach Hocker,,,,,3,insufficient,88.5,6,small,,3,insufficient,,2,insufficient,,,
Zane Gonzalez,,,,101.9,29,moderate,95.6,31,moderate,96.8,54,normal,95.2,28,moderate,,,
