rank,player,year,attempts,kick_plus
378,Chris Boswell,2016,25,100.6
379,Kai Forbath,2014,27,100.6
380,David Akers,2010,38,100.5
381,Ryan Longwell,2006,25,100.5
382,Caleb Sturgis,2016,41,100.5
383,Mike Hollis,2002,33,100.4
384,Adam Vinatieri,2018,27,100.3
385,Martin Gramatica,2001,29,100.3
386,Nick Novak,2016,41,100.3
387,Wil Lutz,2016,34,100.3
388,Robbie Gould,2015,39,100.2
389,Nick Folk,2022,37,100.2
390,Alex Henery,2012,31,100.2
391,Lawrence Tynes,2005,33,100.2
392,Matt Bryant,2007,33,100.2
393,Robbie Gould,2010,30,100.2
394,Jeff Wilkins,2004,24,100.2
395,John Hall,2003,33,100.1
396,Chase McLaughlin,2025,38,100.1
397,Brandon McManus,2015,35,100.1
398,Jake Elliott,2022,23,100.1
399,Joe Nedney,2001,28,100.1
400,Matt Gay,2019,35,100.1
401,Dustin Hopkins,2019,30,100.1
402,Josh Brown,2013,26,100.0
403,Jason Myers,2015,30,100.0
404,Blair Walsh,2013,30,99.9
405,Cairo Santos,2016,35,99.9
406,Steven Hauschka,2016,37,99.9
407,Ka'imi Fairbairn,2019,25,99.9
408,Rob Bironas,2005,29,99.9
409,Rian Lindell,2002,29,99.9
410,Connor Barth,2010,28,99.8
411,Dan Carpenter,2012,27,99.8
412,Olindo Mare,2005,30,99.8
413,Harrison Butker,2025,38,99.8
414,Ryan Succop,2018,30,99.7
415,Graham Gano,2014,35,99.7
416,Josh Brown,2005,25,99.6
417,Steven Hauschka,2019,28,99.5
418,Shayne Graham,2014,22,99.5
419,Daniel Carlson,2024,40,99.5
420,Justin Tucker,2023,37,99.5
421,Jason Hanson,2011,29,99.5
422,Nick Novak,2014,26,99.4
423,Ryan Succop,2017,42,99.4
424,Todd Peterson,2001,35,99.4
425,Younghoe Koo,2023,37,99.4
426,Phil Dawson,2002,28,99.3
427,Justin Tucker,2015,40,99.3
428,Stephen Gostkowski,2011,33,99.3
429,Stephen Gostkowski,2016,32,99.2
430,Mason Crosby,2007,39,99.2
431,Graham Gano,2015,36,99.2
432,Jason Hanson,2005,24,99.2
433,Shaun Suisham,2007,33,99.2
434,Phil Dawson,2004,29,99.2
435,Mason Crosby,2018,37,99.2
436,Chandler Catanzaro,2017,30,99.1
437,Greg Joseph,2018,20,99.1
438,Brandon McManus,2018,25,99.1
439,Neil Rackers,2011,38,99.1
440,Robbie Gould,2020,23,99.0
441,Mike Badgley,2022,28,99.0
442,Travis Coons,2015,32,99.0
443,Shayne Graham,2012,38,98.9
444,Olindo Mare,2003,29,98.9
445,Steven Hauschka,2014,37,98.9
446,Tyler Bass,2024,29,98.9
447,Greg Zuerlein,2022,37,98.8
448,Jason Myers,2019,28,98.8
449,Cairo Santos,2015,37,98.7
450,Olindo Mare,2002,31,98.7
451,Cody Parkey,2020,22,98.7
452,Nick Folk,2016,31,98.7
453,Patrick Murray,2017,23,98.6
454,Tyler Loop,2025,34,98.6
455,Lawrence Tynes,2009,32,98.6
456,Randy Bullock,2018,23,98.6
457,Mike Nugent,2015,28,98.5
458,Shayne Graham,2009,28,98.5
459,Gary Anderson,2002,23,98.4
460,Wil Lutz,2025,32,98.4
461,Riley Patterson,2022,35,98.4
462,Mason Crosby,2014,33,98.3
463,Rodrigo Blankenship,2020,37,98.3
464,Greg Zuerlein,2012,31,98.2
465,Stephen Gostkowski,2007,24,98.2
466,Wil Lutz,2023,34,98.2
467,Gary Anderson,2004,22,98.2
